id,question,status,manual_guess,evidence_status,answer_path,image_ids,notes,updated_at
241,"If this is the first time to use airfryer, What should I do before first use?",done,Philips Airfryer.md,checked,agentic-rag/tmp/answers/per_question/241.json,[],No image is needed; the first-use procedure is fully stated in text and the relevant cleaning details are textual.,2026-05-13T19:38:21+00:00
242,How to find the approval label of emission control certificate of the boat?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/242.json,"[""Manual09_6"", ""Manual09_7""]",Used the Yamaha 210FSH boat manual. Included the two label-location images because they directly mark the emission control information labels referenced by the approval-label section.,2026-05-13T19:38:21+00:00
243,How do I use the battery conversion feature before sailing?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/243.json,"[""Manual09_43"", ""Manual09_44""]","Interpreted ""battery conversion feature"" as the battery switch/emergency parallel feature in the Yamaha 210FSH manual. Included the switch label and ON/OFF position images because they directly support selecting the correct switches and positions.",2026-05-13T19:38:21+00:00
244,How the ship steers?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/244.json,"[""Manual09_52"", ""Manual09_53""]",Used Manual09_52 for the steering wheel control and Manual09_53 for the jet thrust nozzles/articulating keel. PIC count is 2 and images count is 2.,2026-05-13T19:38:21+00:00
245,What should I do if face over temperature warning on the boat?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/245.json,"[""Manual09_95"", ""Manual09_96""]","Question routed by the word boat and over temperature warning to the Yamaha 210FSH 2021 manual. Answer uses the over-temperature warning section, the dry-passage/intake-grate note, and the jet pump clean-out safety warning. Two PIC placeholders correspond to Manual09_95 cooling water pilot outlets and Manual09_96 intake grate.",2026-05-13T19:38:21+00:00
246,"If I want to listen to music on my phone, how do I turn on the sound system?",done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/246.json,"[""Manual09_111"", ""Manual09_112""]","The allowed owner/operator manual identifies the stereo receiver, supported phone input methods, and power source, but does not include the detailed receiver operation or pairing sequence.",2026-05-13T19:38:21+00:00
247,How do I use the storage compartments if I want to store wet items while on board?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/247.json,"[""Manual09_143"", ""Manual09_144""]",Answered from the Yamaha 210FSH wet storage compartment section. Images Manual09_143 and Manual09_144 were inspected and match the hatch/lock handle and wet storage compartment. PIC count is 2 and images count is 2.,2026-05-13T19:38:21+00:00
248,How to open the battery compartment when manipulating the boat?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/248.json,"[""Manual09_157"", ""Manual09_158""]",Answered from the Yamaha 210FSH battery-compartment section. Manual09_157 shows the battery compartment lid and latch; Manual09_158 shows the opened battery compartment.,2026-05-13T19:38:21+00:00
249,How to install an anchor light while the boat is moving?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/249.json,[],No images used; the answer depends on the moving-boat warning plus the documented anchor-light setup and switch positions.,2026-05-13T19:38:21+00:00
250,How do I use the jet wash function to clean the boat after using it?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/250.json,"[""Manual09_173"", ""Manual09_174"", ""Manual09_177"", ""Manual09_180""]","Grounded in the Jet wash and To use the jet wash sections. Images show the coil hose/hose fitting, jet wash switch, handle lever, and shut-off valve.",2026-05-13T19:38:21+00:00
251,How do I turn on or off the water supply button on my boat?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/251.json,"[""Manual09_174"", ""Manual09_180""]","Answered from the Yamaha 210FSH jet wash section. Included the jet wash switch because the question says button, and included the shut-off valve procedure because the manual's water-supply on/off procedure uses the valve.",2026-05-13T19:38:21+00:00
252,How to remove the bimini top of the boat?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/252.json,"[""Manual09_183"", ""Manual09_184"", ""Manual09_191"", ""Manual09_193""]","Question does not specify SPORT or DELUXE trim, so the answer includes both bimini removal procedures from the Yamaha 210FSH manual. Four PIC placeholders align with four selected figure IDs.",2026-05-13T19:38:21+00:00
253,How do I install a bimini top on my boat if I want to use the canopy?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/253.json,"[""Manual09_184"", ""Manual09_193"", ""Manual09_188""]","Manual splits bimini instructions by 210FSH SPORT and 210FSH DELUXE, so the answer gives the SPORT install reversal and the DELUXE install/setup steps plus the up-position speed limit.",2026-05-13T19:38:21+00:00
254,How to store the bimini top in the upright position of the boat?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/254.json,"[""Manual09_189"", ""Manual09_190""]",Uses the Yamaha 210FSH 2021 upright-storage procedure and its trailer warning.,2026-05-13T19:38:21+00:00
255,"When I am sailing, how do I check the engine oil level to ensure continued sailing?",done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/255.json,"[""Manual09_196"", ""Manual09_197""]",Used Yamaha 210FSH oil-warning and engine-oil checking sections. Images show the oil tank filler cap/dipstick and the dipstick minimum/maximum marks.,2026-05-13T19:38:21+00:00
256,How can I use the bilge pump of the boat?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/256.json,"[""Manual09_201"", ""Manual09_202""]",Answered from the Yamaha 210FSH bilge pump section. Images identify the bilge pump switch and bilge pump outlet.,2026-05-13T19:38:21+00:00
257,How to perform anchor light switch check while sailing?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/257.json,"[""Manual09_223"", ""Manual09_224"", ""Manual09_225"", ""Manual09_226""]","Question routes to Yamaha 210FSH 2021. Answer uses the pre-operation navigation and anchor lights switch check, preserving the 210FSH DELUXE install/remove steps, upper/lower/middle switch positions, and model-specific anchor light locations. Four images are used from the same check section; <PIC> count equals images count.",2026-05-13T19:38:21+00:00
258,"When I want to start the boat, how do I turn on the boat's engine to get the machine started?",done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/258.json,"[""Manual09_235"", ""Manual09_236"", ""Manual09_237""]","Answered from the Yamaha 210FSH starting procedure. Images show the blower switch, the engine shut-off switch with clip and lanyard, and turning the main switch key to START.",2026-05-13T19:38:21+00:00
259,How do I turn a boat while sailing?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/259.json,"[""Manual09_239"", ""Manual09_240"", ""Manual09_241"", ""Manual09_242""]","Grounded in Yamaha 210FSH 2021 Turning the boat, Steering, and Boat characteristics sections. Four images correspond to manual examples A-D for throttle effect and no-thrust behavior.",2026-05-13T19:38:21+00:00
260,How to operate the boat cross wakes and swells?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/260.json,"[""Manual09_249"", ""Manual09_250""]",Answered from the Yamaha 210FSH 2021 Crossing wakes and swells section. Included the two adjacent illustrations because they directly show crossing angles and sharp wake versus broad swell behavior. PIC count is 2 and images count is 2.,2026-05-13T19:38:21+00:00
261,How do I load the boat when the cruise is over?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/261.json,"[""Manual09_255"", ""Manual09_256""]","Answered from the Yamaha 210FSH Loading section. Manual09_255 identifies the bow eye for the winch line/chain, and Manual09_256 identifies the stern eyes for stern tie-downs.",2026-05-13T19:38:21+00:00
262,How to flush the cooling system of the boat?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/262.json,"[""Manual09_257"", ""Manual09_258""]",Answered from the Yamaha 210FSH 2021 flushing procedure. The two images are included because they identify the adapter-to-hose connection and the flush hose connector/cap/adapter installation.,2026-05-13T19:38:21+00:00
263,How to replace the fuse of the boat?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/263.json,"[""Manual09_281"", ""Manual09_282"", ""Manual09_283"", ""Manual09_284""]","Answered from the Yamaha 210FSH fuse replacement section; includes the warning against higher-amperage fuses, the access/removal/replacement/reassembly sequence, fuse ratings, and the four adjacent figures used by the procedure.",2026-05-13T19:38:21+00:00
264,How to check the engine oil level of the boat?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/264.json,"[""Manual09_196"", ""Manual09_197""]",Answered from the Yamaha 210FSH engine oil checking procedure. Included the adjacent oil tank filler cap/dipstick image and the dipstick min/max mark image because they identify the part to remove and the level range to verify.,2026-05-13T19:38:21+00:00
265,How to use the energy saving mode of a coffee machine?,done,Nespresso CitiZ D111.md,checked,agentic-rag/tmp/answers/per_question/265.json,"[""Manual07_4"", ""Manual07_5"", ""Manual07_6"", ""Manual07_7"", ""Manual07_8"", ""Manual07_9""]",Answered from the Nespresso CitiZ D111 energy saving mode section; images are the adjacent button/action illustrations for the same steps.,2026-05-13T19:38:21+00:00
266,How to change the default setting of the energy saving mode?,done,Nespresso CitiZ D111,checked,agentic-rag/tmp/answers/per_question/266.json,[],The exact procedure is stated in the Nespresso CitiZ D111 Energy Saving Mode section. No image is required because the button sequence and timing are fully described in text.,2026-05-13T19:38:21+00:00
267,How to program the water valume of a coffee machine?,done,Nespresso CitiZ D111.md,checked,agentic-rag/tmp/answers/per_question/267.json,"[""Manual07_24"", ""Manual07_25"", ""Manual07_26"", ""Manual07_27""]","Answered from the Nespresso CitiZ D111 Programming the Water Volume section. The four images correspond to the ready buttons, capsule insertion, cup placement, and holding the selected coffee button.",2026-05-13T19:38:21+00:00
268,"How should I do if I want to empty the system before not in use, for frost protection or before maintenance?",done,Nespresso CitiZ D111,checked,agentic-rag/tmp/answers/per_question/268.json,"[""Manual07_28"", ""Manual07_29"", ""Manual07_30"", ""Manual07_31"", ""Manual07_32""]","Answered from the Nespresso CitiZ D111 emptying-system procedure. The manual says before a repair; the question's maintenance wording was treated as that same use case. Images are the section illustrations for the button presses, lever movement, and alternating LEDs.",2026-05-13T19:38:21+00:00
269,How should I do if I want to reset to factory settings of the coffee machine?,done,Nespresso CitiZ D111.md,checked,agentic-rag/tmp/answers/per_question/269.json,"[""Manual07_33"", ""Manual07_34"", ""Manual07_35""]","The reset procedure is in the Nespresso CitiZ D111 reset section. The three selected images align with holding the Lungo button, the fast LED confirmation blinks, and the normal heating/ready light state.",2026-05-13T19:38:21+00:00
270,How should I clean my coffee maker after I use it so that it can last longer?,done,Nespresso CitiZ D111.md,checked,agentic-rag/tmp/answers/per_question/270.json,"[""Manual07_47"", ""Manual07_48""]",Images Manual07_47 and Manual07_48 are used because they directly support soft-cloth cleaning and the removable maintenance unit.,2026-05-13T19:38:21+00:00
271,How to open the swim platform of the boat?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/271.json,"[""Manual09_143""]","The question says swim platform; the manual's matching opening procedure is for the wet storage compartment under the swim platform, via the rear platform hatch.",2026-05-13T19:38:21+00:00
272,How to open the livewell and add water on the boat?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/272.json,"[""Manual09_153"", ""Manual09_155""]",Answered from the Livewell section only; no prior generated answer files used.,2026-05-13T19:38:21+00:00
273,What is the maintenance setting screen of the boat controller?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/273.json,"[""Manual09_83"", ""Manual09_84"", ""Manual09_85""]","The manual identifies the maintenance setting screen under the multi-function display settings. It shows engine hours since last maintenance and documents Reset, YES, and NO behavior.",2026-05-13T19:38:21+00:00
274,"In the boat's steering position, what does the factory reset screen show?",done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/274.json,"[""Manual09_87"", ""Manual09_89""]","Factory reset section states that this screen resets settings to factory defaults; adjacent screen image shows the Factory Reset prompt with Reset and Back, and confirmation image shows YES/NO. No old submissions or generated answer files were read.",2026-05-13T19:38:21+00:00
275,What is the trip screen shown?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/275.json,"[""Manual09_69""]","Exact Trip screen section found in Yamaha 210FSH 2021 manual. Manual09_69 directly shows the labeled trip screen with menu, scrollbar, Reset button, and the visible four menu entries.",2026-05-13T19:38:21+00:00
276,"When I am ready to sail, if everything is ready, how do I make the boat move forward?",done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/276.json,"[""Manual09_46""]","Image Manual09_46 is used because it is the labeled remote-control-lever diagram adjacent to the forward/throttle instructions. The answer treats ""ready to sail"" as the stage after pre-operation and engine-start checks.",2026-05-13T19:38:21+00:00
277,How do I check the boat's steering system when I'm driving it?,done,Yamaha 210FSH 2021.md,checked,agentic-rag/tmp/answers/per_question/277.json,"[""Manual09_206"", ""Manual09_207""]","Routed to the Yamaha 210FSH boat manual. Included the pre-operation steering-system check as the direct answer, plus the driving-specific throttle caution because the question says 'when driving it.'",2026-05-13T19:38:21+00:00
