id,ret
64,"""使用吹风机时，人员必须佩戴以下防护装备：\n1. 合格的听力防护装备。\n2. 合格的眼部防护装备。\n3. 在多尘环境中操作时佩戴面罩。\n此外还应穿着防滑鞋底的工作靴或工作鞋，并准备急救箱。<PIC>"",[""Manual04_3""]"
65,"""使用电钻的腰带挂钩和批头夹时，需要特别注意以下几点：调整或拆卸、安装附件前，务必关闭工具并取下电池组，防止意外启动导致人身伤害。<PIC>仅将工具腰带挂钩挂在工作腰带上，不要将工具悬挂在高处，也不要在腰带挂钩上悬挂物体。确保固定腰带挂钩的螺钉紧固。<PIC>安装或更换腰带挂钩或批头夹时，仅使用随附的螺钉（H），务必拧紧。腰带挂钩（G）和批头夹（I）可安装在工具任意一侧，适配左手或右手用户。移动时取下固定螺钉（H），然后重新安装在另一侧并拧紧。"",[""Manual11_7"", ""drill0_14""]"
66,"""吹风机化油器通过化油器上的 H、L、T 三颗调节螺钉进行调节。H 为高速油针，L 为低速油针，T 为怠速调节螺钉；根据当地气候、海拔、汽油及二冲程机油类型进行适配，才能获得稳定怠速与最大输出功率。出厂基础设置为：H 油针旋至限位终点、L 油针旋至限位终点，推荐怠速约 3000 转/分钟。调节方法如下：<PIC>\n1. 确认吹风管（15）与喷口（14）已安装到位。\n2. 先将 H、L 螺钉逆时针旋至限位终点。\n3. 启动吹风机，怠速与半油门交替运转 1-2 分钟预热；若无法怠速，顺时针旋入 T 螺钉直到能维持怠速。\n4. 微调 T 螺钉，使发动机刚好维持稳定怠速，避免转速偏高。\n5. 微调 L 螺钉至怠速达到最高点，再将 L 螺钉逆时针旋出最多 1/4 圈；若需要，可再适当旋入 T 螺钉提升怠速。\n6. 全油门调节 H 螺钉至发动机达到最大转速，随后将 H 螺钉逆时针旋 1/8 圈（如限位限制则小于此幅度）。\n7. 调节 H 油针时，全油门持续时间最长 10 秒，之后需怠速运转至少 10 秒。\n8. 不要拆除 H、L 油针限位装置，否则设备将不再符合加州空气资源委员会的环保要求。"",[""Manual04_42""]"
67,"""吹风机冷机启动步骤如下：\n1. 点火：将停机开关调至启动位置。\n2. 阻风门：将阻风门控制器调至阻风门位置（A）。\n3. 泵油：反复按压泵油膜片直至燃油充满膜片，无需完全充满。<PIC>\n4. 左手将设备机身按压在地面（切勿用脚踩压）。右手握紧启动手柄，缓慢拉动启动绳至感受到阻力（启动钩啮合），然后快速用力拉动。<PIC>\n5. 发动机点火后立即按下阻风门控制器，重复操作直至发动机启动。\n重要！切勿完全拉出启动绳；启动绳完全拉出时也不要松开启动手柄，否则会损坏启动装置。"",[""Manual04_25"", ""Manual04_27""]"
68,"""热机启动时，按冷机启动的相同步骤操作，但不要将阻风门控制器停留在阻风门位置。若油门手柄无启动油门锁，应先将阻风门控制器置于阻风门位置，再将其退回原位（B）以获得启动油门位置。拉动启动绳时切勿完全拉出，完全拉出后也不要松开启动手柄。<PIC>\n随后左手将设备机身按压在地面，右手握紧启动手柄，缓慢拉动启动绳至感受到阻力后再快速用力拉动；发动机点火后立即按下阻风门控制器，重复操作直至发动机启动。"",[""Manual04_27""]"
69,"""通过停机开关切断点火电源来关闭发动机。<PIC>"",[""Manual04_29""]"
70,"""空调的重要组成部件分为室内机、室外机和无线遥控器三大部分。\n室内机是空调的核心部分，主要组成部件包括前盖板、空气滤网、3M多重防护滤网、信号接收器、操作指示灯、开/关键、出风口与导风板。<PIC>\n室外机安装在室外，主要组成部件包括制冷剂管道、排水软管、电源线和连接线。<PIC>\n无线遥控器用于便捷操作空调，使用前需安装7号电池，附加功能按键位于遥控器盖板下方，部分功能可能因机型不同而不支持。"",[""Manual01_0"", ""Manual01_1""]"
71,"""遥控器盖板下方隐藏了附加功能按键，打开盖板即可看到。<PIC>图中可找到以下按键：开/关键、模式键、睡眠键、风速键、定时开/关键、上升/下降键、设置/清除键。"",[""air_conditioner_01""]"
72,"""使用遥控器前，请先安装电池，适用电池型号为7号。1. 取下电池盖。<PIC> 2. 装入新电池，确保电池正、负极安装正确。<PIC> 3. 重新装上电池盖。注意事项：给遥控器装电池时，切勿将不同型号电池混用，也切勿将新电池与旧电池混用，否则可能导致产品故障。切勿对电池充电或拆解电池，否则可能导致爆炸、火灾或严重受伤。若遥控器电池漏液，立即停止使用，若衣物或皮肤接触到漏液，用清水冲洗。若遥控器显示屏开始变暗，请更换电池。"",[""Manual01_2"", ""Manual01_3""]"
73,"""安装空调遥控器支架的步骤如下。\n1. 选择安全且便于取用的位置，并将支架安装在无阳光直射的位置，以保护遥控器。<PIC>\n2. 用螺丝刀将两颗螺丝拧紧，固定支架。<PIC>\n3. 将遥控器滑入支架中。\n安装前请先确认支架固定牢靠，再放入遥控器，避免滑落。"",[""Manual01_4"", ""Manual01_5""]"
