id,raw,clean,lang
64,"""使用吹风机时，人员需要佩戴哪些防护装备？""",使用吹风机时，人员需要佩戴哪些防护装备？,zh
65,"""操作吹风机时，人员需要注意哪些安全要点？""",操作吹风机时，人员需要注意哪些安全要点？,zh
66,"""使用吹风机时，如何调节化油器？""",使用吹风机时，如何调节化油器？,zh
67,"""吹风机冷机时，该如何启动？""",吹风机冷机时，该如何启动？,zh
68,"""吹风机热机时，该如何启动？""",吹风机热机时，该如何启动？,zh
69,"""该如何关闭吹风机？""",该如何关闭吹风机？,zh
70,"""空调的重要组成部件有哪些？""",空调的重要组成部件有哪些？,zh
71,"""如何找到空调遥控器的按键？""",如何找到空调遥控器的按键？,zh
72,"""如何给空调遥控器安装电池？""",如何给空调遥控器安装电池？,zh
73,"""如何安装空调遥控器支架？""",如何安装空调遥控器支架？,zh
74,"""如何用空调快速调节室内温度？""",如何用空调快速调节室内温度？,zh
75,"""如何使用空调的自清洁运行功能？""",如何使用空调的自清洁运行功能？,zh
76,"""如何使用空调的等离子净化功能？""",如何使用空调的等离子净化功能？,zh
77,"""单冷型空调如何开启自动运行模式？""",单冷型空调如何开启自动运行模式？,zh
78,"""如何使用空调的自动转换运行功能？""",如何使用空调的自动转换运行功能？,zh
79,"""如何开启空调的节能制冷模式？""",如何开启空调的节能制冷模式？,zh
80,"""无遥控器时如何操作空调？""",无遥控器时如何操作空调？,zh
81,"""如何让空调实现自动重启？""",如何让空调实现自动重启？,zh
82,"""不同型号空调的清洁频率是多少？""",不同型号空调的清洁频率是多少？,zh
83,"""如何清洁空调的空气滤网？""",如何清洁空调的空气滤网？,zh
84,"""如何清洁空调的3M多重防护滤网？""",如何清洁空调的3M多重防护滤网？,mixed
85,"""如何清洁空调的等离子滤网？""",如何清洁空调的等离子滤网？,zh
86,"""如何快速组装蒸汽清洁机？""",如何快速组装蒸汽清洁机？,zh
87,"""蒸汽清洁机有哪些实用的产品功能？如何快速上手使用？""",蒸汽清洁机有哪些实用的产品功能？如何快速上手使用？,zh
88,"""如何使用蒸汽清洁机清洁硬质地面？""",如何使用蒸汽清洁机清洁硬质地面？,zh
89,"""组装人体工学椅涉及哪些部件？""",组装人体工学椅涉及哪些部件？,zh
90,"""椅子的扶手使用一段时间后为什么会松动？""",椅子的扶手使用一段时间后为什么会松动？,zh
91,"""这款椅子有哪些功能？""",这款椅子有哪些功能？,zh
92,"""洗碗机的部件有哪些？""",洗碗机的部件有哪些？,zh
93,"""首次使用时，如何将洗碗机连接到排水口？""",首次使用时，如何将洗碗机连接到排水口？,zh
94,"""使用前如何为洗碗机添加专用盐？""",使用前如何为洗碗机添加专用盐？,zh
95,"""如何为洗碗机添加洗涤剂？""",如何为洗碗机添加洗涤剂？,zh
96,"""如何为洗碗机添加洗涤块？""",如何为洗碗机添加洗涤块？,zh
