id,question,status,manual_guess,evidence_status,answer_path,image_ids,notes,updated_at
64,使用吹风机时，人员需要佩戴哪些防护装备？,done,吹风机手册.md,checked,agentic-rag/tmp/ch-answers/per_question/64.json,"[""Manual04_3""]",已使用中文手册证据作答；选择 Manual04_3 用于展示个人防护装备清单。PIC 数量 1 与 images 数量 1 一致。,2026-05-29T13:08:58+00:00
65,操作吹风机时，人员需要注意哪些安全要点？,done,电钻手册.md,checked,agentic-rag/tmp/ch-answers/per_question/65.json,"[""Manual11_7"", ""drill0_14""]",已使用电钻手册中文证据作答；Manual11_7 展示腰带挂钩与批头夹安装位置，drill0_14 展示挂钩固定细节。PIC 数量 2 与 images 数量 2 一致。,2026-05-29T13:08:58+00:00
66,使用吹风机时，如何调节化油器？,done,吹风机手册.md,checked,agentic-rag/tmp/ch-answers/per_question/66.json,"[""Manual04_42""]",已使用中文手册证据作答；选择 Manual04_42 展示化油器调节螺钉位置。PIC 数量 1 与 images 数量 1 一致。,2026-05-29T13:08:58+00:00
67,吹风机冷机时，该如何启动？,done,吹风机手册.md,checked,agentic-rag/tmp/ch-answers/per_question/67.json,"[""Manual04_25"", ""Manual04_27""]",已使用吹风机手册中文证据作答；选择 Manual04_25（泵油膜片操作）和 Manual04_27（拉绳启动姿势）用于辅助说明冷机启动关键步骤。PIC 数量 2 与 images 数量 2 一致。,2026-05-29T13:08:58+00:00
68,吹风机热机时，该如何启动？,done,吹风机手册.md,checked,agentic-rag/tmp/ch-answers/per_question/68.json,"[""Manual04_27""]",已使用中文手册证据作答；选择 Manual04_27 展示热机启动与阻风门退回原位位置。PIC 数量 1 与 images 数量 1 一致。,2026-05-29T13:08:58+00:00
69,该如何关闭吹风机？,done,吹风机手册.md,checked,agentic-rag/tmp/ch-answers/per_question/69.json,"[""Manual04_29""]",已使用吹风机手册中文证据作答；选择 Manual04_29 展示停机开关位置。PIC 数量 1 与 images 数量 1 一致。,2026-05-29T13:08:58+00:00
70,空调的重要组成部件有哪些？,done,空调手册.md,checked,agentic-rag/tmp/ch-answers/per_question/70.json,"[""Manual01_0"", ""Manual01_1""]",已使用空调手册中文证据作答；Manual01_0 展示室内机部件，Manual01_1 展示室外机部件。PIC 数量 2 与 images 数量 2 一致。,2026-05-29T13:11:02+00:00
71,如何找到空调遥控器的按键？,done,空调手册.md,checked,agentic-rag/tmp/ch-answers/per_question/71.json,"[""air_conditioner_01""]",遥控器主要按键布局图中可见；附加功能按键位于盖板下方。PIC 数量 1 与 images 数量 1 一致。,2026-05-29T13:18:40+00:00
72,如何给空调遥控器安装电池？,done,空调手册.md,checked,agentic-rag/tmp/ch-answers/per_question/72.json,[],,2026-05-30T00:15:36+00:00
73,如何安装空调遥控器支架？,done,,checked,agentic-rag/tmp/ch-answers/per_question/73.json,[],,2026-05-29T14:27:08+00:00
74,如何用空调快速调节室内温度？,done,,checked,agentic-rag/tmp/ch-answers/per_question/74.json,[],,2026-05-30T00:22:59+00:00
75,如何使用空调的自清洁运行功能？,done,,checked,agentic-rag/tmp/ch-answers/per_question/75.json,[],,2026-05-29T14:36:13+00:00
76,如何使用空调的等离子净化功能？,done,,checked,agentic-rag/tmp/ch-answers/per_question/76.json,[],,2026-05-29T14:37:48+00:00
77,单冷型空调如何开启自动运行模式？,done,,checked,agentic-rag/tmp/ch-answers/per_question/77.json,[],,2026-05-29T14:39:31+00:00
78,如何使用空调的自动转换运行功能？,done,,checked,agentic-rag/tmp/ch-answers/per_question/78.json,[],,2026-05-29T14:41:44+00:00
79,如何开启空调的节能制冷模式？,done,,checked,agentic-rag/tmp/ch-answers/per_question/79.json,[],,2026-05-29T14:43:10+00:00
80,无遥控器时如何操作空调？,done,,checked,agentic-rag/tmp/ch-answers/per_question/80.json,[],,2026-05-29T14:44:35+00:00
81,如何让空调实现自动重启？,done,,checked,agentic-rag/tmp/ch-answers/per_question/81.json,[],,2026-05-30T00:25:57+00:00
