id,ret
241,"""1. Remove all packing material.\n2. Remove any stickers or labels from the appliance, if present.\n3. Thoroughly clean the appliance before first use. For cleaning, let the appliance and removable parts cool if they have been heated, then clean the pan and basket in a dishwasher or with hot water, dishwashing liquid, and a non-abrasive sponge. Do not use metal kitchen utensils or abrasive cleaning materials, because they can damage the non-stick coating."",[]"
242,"""Open the engine hood to access the engine compartment. The approval labels for the emission control certificate are attached to each engine unit and to the inside of the engine compartment. On each engine unit, look for the emission control information label at the indicated label position.<PIC>\nAlso check the inside wall of the engine compartment for the emission control information label at the indicated position.<PIC>\nTo open the engine hood, pull up the engine hood latches under the front of the leaning post and lift the hood. On a 210FSH DELUXE, do not open the engine hood while the anchor light is installed because the anchor light could be damaged."",[""Manual09_6"", ""Manual09_7""]"
243,"""Before operating the boat, use the battery switch assembly in the battery compartment. The assembly has the red \""HOUSE\"" switch, yellow \""EMERG PARALLEL\"" switch, and red \""START\"" switch.<PIC>\n1. For normal operation before sailing, set both the \""START\"" and \""HOUSE\"" switches to ON. The switch position indicator is green for ON and red for OFF.<PIC>\n2. Keep the \""EMERG PARALLEL\"" switch OFF during normal operation; this lets both batteries charge automatically while the engine is running.\n3. Use \""EMERG PARALLEL\"" only if the start battery is discharged: turn it ON to start the engine, then turn it OFF once the engine has started or the start battery is charged.\n4. During the pre-operation battery check, make sure the battery terminals are not damaged, the leads are connected properly, and the batteries have enough power to start the engines. Do not operate if battery power is insufficient or decreased."",[""Manual09_43"", ""Manual09_44""]"
244,"""The boat steers by turning the steering wheel in the direction you want to travel, left or right.<PIC>\nTurning the wheel changes the angle of the jet thrust nozzles at the rear of the boat, and the articulating keel moves with those nozzles, changing the boat's direction.<PIC>\nSteering strength depends on jet thrust: more throttle produces a sharper turn, less throttle produces a gradual turn. Above trolling speed, if you pull the remote control levers back to idle or neutral, steering response rapidly decreases and the boat may not respond to the steering wheel until throttle is applied again. At trolling speed, it can turn gradually using idle thrust. Because the boat steers from the stern, the stern swings opposite the desired turn."",[""Manual09_52"", ""Manual09_53""]"
245,"""An \""Over Temperature\"" warning means an engine is overheating; the buzzer sounds and engine speed is automatically limited. Do this:\n1. Immediately reduce engine speed, then return to shore or maneuver to a safe location.\n2. Check for water discharge from the starboard-side cooling water pilot outlets while the engines are running, especially while applying throttle; outlet 1 is for the port engine and outlet 2 is for the starboard engine.<PIC>\n3. If the cooling passages are dry, allow about 20 seconds after starting for water to reach the outlets. If no water comes out, cooling water may not be circulating and the intake grates may be clogged; use the jet pump clean-out procedure only after turning off and removing both main switch keys, removing the engine shut-off switch clip, and waiting for all movement to stop. The intake grate is the underside grate shown here.<PIC>\n4. If you cannot find and correct the cause, avoid major engine damage while returning: for one overheating engine, shut off that engine and use the other engine at no-wake speed, 8 km/h (5 mph), to prevent water from flooding the non-operating engine through the water intake; for both engines overheating, get towed if possible, or run both engines just slightly above idle while returning to shore."",[""Manual09_95"", ""Manual09_96""]"
246,"""The boat manual does not give the stereo receiver's exact power-button or Bluetooth pairing sequence; it says to refer to the separate stereo system Operation Manual included with the boat. From this manual, first make sure the boat's accessory power is available: in normal operation keep the \""START\"" and \""HOUSE\"" battery switches in the ON position and leave \""EMERG PARALLEL\"" OFF, because the house battery powers the audio system.\nOperate the sound system from the stereo receiver at the helm.<PIC>\nFor phone music, use one of the supported stereo inputs: Bluetooth, the auxiliary input jack, or the USB terminal. The auxiliary input jack and USB terminal are the two labeled inputs shown together.<PIC>"",[""Manual09_111"", ""Manual09_112""]"
247,"""Use the wet storage compartment under the swim platform for wet items. To open it, pull the lock handle up, turn the lock handle clockwise, and open the rear platform hatch; the hatch is label 1 and the lock handle is label 2.<PIC>\nPlace the wet items in the wet storage compartment under the opened hatch.<PIC>\nTo close it, close the rear platform hatch, turn the lock handle counterclockwise and confirm the hatch is securely closed, then push the lock handle down. Make sure storage compartments are securely closed before getting underway; the engines will not start if the rear platform hatch is not securely closed."",[""Manual09_143"", ""Manual09_144""]"
248,"""The battery compartment is on the port side of the boat at the stern. To open it, unhook the latch on the battery compartment lid, then open the lid.<PIC>\nWith the lid open, the battery compartment is exposed.<PIC>\nDo not carry flammable substances, heavy items, or metal items in this compartment because they can damage the battery or cause a short circuit, sparks, or fire."",[""Manual09_157"", ""Manual09_158""]"
249,"""Do not install the removable anchor light while the boat is moving. On the 210FSH DELUXE, setup starts by opening the lockable storage compartment, and the manual warns not to open that compartment while underway because the lid could block your vision, close unexpectedly, or pinch you. Stop the boat or install the light before getting underway.\n1. Open the lockable storage compartment and remove the anchor light from its holder.\n2. Slide anchor light stoppers A and B apart, extend the pole, and screw stopper A onto the center section of the pole.\n3. Open the anchor light socket cap, align the protrusion on the light with the slot in the socket, and install the light into the socket.\n4. Fit stopper B into the anchor light socket.\n5. When running before dawn, after dusk, or in low visibility, push the upper side of the navigation and anchor lights switch to \""NAV\"" so both bow and anchor lights are on. Use \""ANC\"" only for the anchor light alone when anchored at night.\nFor the 210FSH SPORT, there is no removable installation step: pull the lock tab, raise the T-top anchor light, and move the lock tab back to lock it in place."",[]"
250,"""Use the jet wash only as a passenger, not while operating the boat. Before use, make sure the shut-off valve is open; on 210FSH DELUXE, make sure the anchor light socket is closed. If water leaks from the hose fitting or coil hose, or if any other problem appears, close the shut-off valve immediately. The operator must attach the engine shut-off cord to their PFD and keep scanning for people, objects, and other watercraft.\n1. Connect the coil hose to the hose fitting.<PIC>\n2. Start the engines.\n3. Push the jet wash switch; water starts about 5 seconds later. Press the switch again to adjust the water flow through 3 levels.<PIC>\n4. Move the jet wash handle lever to discharge water.<PIC>\n5. To stop, push the jet wash switch, stop the engines, push the collar on the hose fitting inward, and disconnect the coil hose.\n6. If you need to turn the water supply on or off, stop the engines, open the rear platform hatch, remove the inspection cover, turn the shut-off valve 90 clockwise to turn on or 90 counterclockwise to turn off, reinstall the cover, and close the hatch.<PIC>"",[""Manual09_173"", ""Manual09_174"", ""Manual09_177"", ""Manual09_180""]"
251,"""Use the jet wash switch to start or stop jet wash water flow, and use the shut-off valve to open or close the system water supply.\n1. Connect the coil hose to the hose fitting and start the engines.\n2. Push the jet wash switch. The water supply starts about 5 seconds later; push the same switch again to stop using the jet wash. The jet wash switch is the upper rocker switch labeled JET WASH.<PIC>\n3. To open or close the water-supply shut-off valve, stop the engines first, open the rear platform hatch, and remove the inspection cover.\n4. Turn the shut-off valve 90 degrees clockwise to turn the water supply on, or 90 degrees counterclockwise to turn it off. The shut-off valve is behind the inspection cover under the rear platform hatch.<PIC>\n5. Reinstall the inspection cover and close the rear platform hatch.\nThe jet wash system must be used only by a passenger who is not operating the boat. If the system will not be used for an extended period, leave the shut-off valve closed; if water leaks or you notice another problem, close it immediately."",[""Manual09_174"", ""Manual09_180""]"
252,"""For the 210FSH SPORT T-top bimini: 1. Open the flap on the starboard side of the bimini top; the flap is the cover section shown at the side of the top.<PIC>\n2. Loosen the ratchet, then loosen the strap that secures the bimini top; the ratchet is the labeled strap tensioner.<PIC>\n3. Slowly pull the bimini top toward the bow and remove it.\n\nFor the 210FSH DELUXE bimini: 1. Store the bimini top in the fully collapsed position. To do that, first remove the center-pole lock pins and push the center poles down, pull the bimini top toward the bow, install the storage cover, then while supporting the bimini top remove the lock pins securing the forward support poles to the mounting brackets and lower the top onto the rear deck; the forward support pole, lock pin, and bracket are shown here.<PIC>\n2. Remove the main pole mounting pins that secure the bimini top to the main pole mounting brackets; the mounting pin is labeled at the base of the frame.<PIC>\n3. Remove the bimini top from the boat."",[""Manual09_183"", ""Manual09_184"", ""Manual09_191"", ""Manual09_193""]"
253,"""Use the procedure for your 210FSH model:\n1. For a 210FSH SPORT, the bimini top is the T-top canopy used as a sunshade or rain cover for the leaning post. To install it, reverse the removal steps: guide the bimini top back into place opposite the removal direction, tighten the securing strap with the ratchet, then close the starboard-side flap; the ratchet is the strap tensioner shown here.<PIC>\n2. For a 210FSH DELUXE, if the bimini top has been removed, reverse the removal steps and make sure the main pole mounting pins are securely installed; this figure shows the main pole mounting pin location.<PIC>\n3. To set up the DELUXE bimini top for use as the canopy, raise the top, secure each forward support pole to its mounting bracket with the lock pin, remove the storage cover, unfold the top and pull it toward the stern, then push each center pole up and install the lock pin; this figure shows the center pole lock pin used for the final raised position.<PIC>\nDo not exceed 72 km/h (45 mph) with the bimini top in the up position."",[""Manual09_184"", ""Manual09_193"", ""Manual09_188""]"
254,"""To store the bimini top in the upright position:\n1. Remove the lock pins, then push the center poles down; the center pole and lock pin are shown here.<PIC>\n2. Pull the bimini top toward the bow; the next figure shows the top pulled toward the bow.<PIC>\n3. Install the storage cover.\nDo not trailer the boat with the bimini top fully extended or in the upright storage position. Put it in the fully collapsed position before trailering to avoid damage."",[""Manual09_189"", ""Manual09_190""]"
255,"""On the water, moor the boat so it will not drift before checking the oil. If a Low Oil Pressure warning appears, reduce engine speed and return to shore or maneuver to a safe location before checking.\n1. With the engine stopped, place the boat precisely level on land or launch/moor it on the water. Look in all directions, start the engine, and run it at idle for 6 minutes or more; run it 5 additional minutes if the ambient temperature is 20 C (68 F) or less. Then stop the engine.\n2. Open the engine hood, loosen and remove the oil tank filler cap/dipstick, then wipe the dipstick clean. The filler cap/dipstick is the cap identified in the engine compartment.<PIC>\n3. Screw the filler cap into the filler hole until it stops, remove it again, and confirm that the oil level is between the minimum and maximum marks on the dipstick.<PIC>\n4. If the oil is significantly above the maximum mark, consult a Boat Dealer. If it is below the minimum mark, slowly add engine oil, then repeat the wipe/check/add process until the level is correct.\n5. Securely reinstall the oil tank filler cap, repeat the check for the other engine, and close the engine hood.\nEngine oil is extremely hot immediately after the engines are turned off, so avoid contact. Do not run the engine with too much or too little oil, and keep debris and water out of the filler hole. If the oil level is sufficient but a Low Oil Pressure warning remains, have a Boat Dealer check the engine."",[""Manual09_196"", ""Manual09_197""]"
256,"""1. Use the bilge pump to drain bilge water while the boat is on the water. To run it manually, turn on the bilge pump switch; the switch operates the pump for water collected in the bilge under the engine compartment.<PIC>\n2. The pump discharges the water through the bilge pump outlet.<PIC>\n3. If the switch is not on, the pump still detects excessive bilge water and automatically drains most of it through the outlet, even when the battery switches are OFF.\n4. The bilge pump indicator light comes on while the pump is operating, and in automatic operation the pump does not stop until most bilge water has been drained.\n5. Do not run the engines at full throttle while bilge water remains in the engine compartment. Make sure all drain plugs are tightened before operating the boat."",[""Manual09_201"", ""Manual09_202""]"
257,"""Perform the check before night operation or low-visibility running:\n1. If the boat is a 210FSH DELUXE, install the removable anchor light first.\n2. At the helm, use the navigation and anchor lights switch; its upper side is NAV and its lower side is ANC.<PIC>\n3. Push the upper side of the switch and confirm the bow light comes on.<PIC>\n4. With the upper side still selected, confirm the anchor light comes on. On a 210FSH DELUXE, check the removable stern anchor light.<PIC>\n5. On a 210FSH SPORT, check the anchor light at the top of the T-top.<PIC>\n6. Push the lower side of the switch and confirm only the anchor light comes on.\n7. Put the switch in the middle position and confirm the bow light and anchor light are off.\n8. If the boat is a 210FSH DELUXE, remove the anchor light after the check."",[""Manual09_223"", ""Manual09_224"", ""Manual09_225"", ""Manual09_226""]"
258,"""1. Finish the pre-operation checks, make sure the boat is launched in water free of weeds and debris, and use water at least 90 cm (3 ft) deep from the bottom of the boat.\n2. Turn the battery switch to ON.\n3. Check the engine compartment for gasoline, gasoline vapors, and loose electrical connections; if anything smells or looks wrong, do not start. Push the blower switch and run the blowers for at least 4 minutes.<PIC>\n4. Attach the engine shut-off cord (lanyard) to your PFD, then install the clip on the engine shut-off switch by pushing the clip groove over the nut beneath the knob; keep the cord clear of the steering wheel and controls.<PIC>\n5. Put both remote control levers in neutral. The starter motors will not operate unless the levers are in neutral.\n6. Turn the main switch keys to START and release each key when the engines start.<PIC> If an engine does not start after 5 seconds of cranking, release the key and wait at least 15 seconds before trying again. Do not turn a key to START while its engine is already running, and use only enough throttle to keep the engine idling."",[""Manual09_235"", ""Manual09_236"", ""Manual09_237""]"
259,"""1. Turn the steering wheel in the direction you want to travel, right or left.\n2. Keep throttle applied above idle while turning, except at trolling speed. This jet boat turns with jet thrust: more throttle produces higher thrust and a sharper turn.<PIC>\n3. Use less throttle for a more gradual turn.<PIC>\n4. Do not pull the remote control levers back to idle or neutral to steer away from objects. At speeds above trolling, steering response rapidly decreases without throttle until you apply throttle again or reach trolling speed.<PIC>\n5. If there is no thrust because the engines are stopped, the boat will continue straight even with the steering wheel turned.<PIC>\n6. Make sure passengers are holding on before turns, and practice turning in an open area without obstructions."",[""Manual09_239"", ""Manual09_240"", ""Manual09_241"", ""Manual09_242""]"
260,"""Cross wakes and swells by adjusting both speed and crossing angle. Usually, slow down and quarter the wake or swell, meaning cross it at an angle, to reduce the jolt to you and the boat. A 45-degree crossing is usually easier to control than a very small angle such as 10 degrees, because at small angles the boat can try strongly to steer away from the wake or swell; be ready to steer and balance as needed.<PIC>\nExpect groups of wakes or swells to be less smooth than a single one. Small swells are easier than larger swells or wakes, and a sharp wake gives more jolt than a broad swell.<PIC>"",[""Manual09_249"", ""Manual09_250""]"
261,"""1. Disconnect the trailer lights from the towing vehicle.\n2. Back the trailer down the ramp as close to 90 degrees to the shoreline as possible. If possible, have a second person stand to the side as an observer. Stop when the tops of the trailer fenders are about 3 inches above the waterline.\n3. With the boat moving at the slowest idle speed, guide it onto the support rails. Use throttle only if needed for steering; too much throttle can make the boat jump over the front of the trailer and injure the operator or bystanders.\n4. Make sure the boat is centered on the support rails and headed straight for the bow stop. Ease forward until the bow rests against the bow stop. The winch line is not designed to pull the boat onto the trailer.\n5. Attach and tighten the winch line to the bow eye, and also use the chain to secure the bow; the winch line alone is not enough for trailering.<PIC>\n6. Pull the trailer up the ramp out of other boaters' way. Attach the bow and stern tie-downs, using the stern eyes for the stern tie-downs, then reconnect the trailer lights.<PIC>\n7. Perform the post-operation checks."",[""Manual09_255"", ""Manual09_256""]"
262,"""1. Flush the cooling system after the boat is back on the trailer; proper flushing is not possible while the boat is in the water. Connect the garden hose adapter to a garden hose; the adapter and hose connection are shown here.<PIC>\n2. Loosen and remove the flush hose connector cap, then push and twist the garden hose adapter into the flush hose connector until it is secure; the connector, cap, and adapter are shown here.<PIC>\n3. Connect the garden hose to a water tap.\n4. Make sure the area around the boat is clear, start the engine, and immediately turn the water supply fully on. Water should flow continuously from the jet thrust nozzle and cooling water pilot outlet. Never turn the water on before starting the engine.\n5. Run the engine at a fast idle for 3 to 5 minutes. If the engine stops while flushing, turn the water supply off immediately and restart the procedure from the engine-start step.\n6. Turn off the water supply, then drain residual water from the exhaust system by alternating the remote control lever up to half throttle and back to idle for 10 to 15 seconds.\n7. Stop the engine. Never leave the water on when the engine is not running, and do not run the engine more than 15 seconds after the water is turned off.\n8. Remove the garden hose adapter, then install and securely tighten the flush hose connector cap."",[""Manual09_257"", ""Manual09_258""]"
263,"""Do not install a fuse with a higher amperage than specified; use only the proper rating, otherwise the electrical system can be damaged and a fire can result.\n1. Open the engine hood, then unfasten the band securing the fuse box on the air filter case.<PIC>\n2. Pull the fuse box toward the bow to remove it from the air filter case.\n3. Push both sides of the fuse box cover inward and pull the cover toward the bow to remove it.<PIC>\n4. Identify the blown fuse in the fuse box; the diagram shows the electronic throttle valve fuse, fuel pump fuse, main relay drive fuse, main fuse, fuse puller, battery fuse, spare fuse, and unused positions.<PIC>\n5. If replacing the accessory fuse or bilge pump fuse, open the battery compartment and remove the fuse holder; the holder contains the accessory and bilge pump fuses.<PIC>\n6. Use the fuse puller to replace the blown fuse with a spare fuse of the correct amperage: electronic throttle valve 10 A, fuel pump 10 A, main relay drive 10 A, main fuse 20 A, battery fuse 30 A, accessory fuse 20 A, bilge pump fuse 3 A.\n7. Reinstall the fuse box cover. If you replaced the accessory or bilge pump fuse, reinstall the fuse holder. Reinstall the fuse box to the air filter case, fasten the band, and close the engine hood."",[""Manual09_281"", ""Manual09_282"", ""Manual09_283"", ""Manual09_284""]"
264,"""Use this procedure for each engine.\n1. With the engine stopped, put the boat precisely level on land or launch it. If checking on land, supply water to the cooling water passages while the engine runs; if checking on water, moor the boat so it cannot drift.\n2. Look in all directions, start the engine, and idle it for at least 6 minutes. If the ambient temperature is 20 deg C (68 deg F) or less, idle it 5 minutes longer.\n3. Stop the engine, open the engine hood, loosen and remove the oil tank filler cap, and wipe the attached dipstick clean. The oil tank filler cap is the dipstick.<PIC>\n4. Screw the filler cap fully into the filler hole until it stops, then remove it again and check that the oil level is between the maximum and minimum marks on the dipstick.<PIC>\n5. If the level is below the minimum mark, slowly add engine oil and repeat the wipe, install, remove, and check steps until the level is correct. If the level is significantly above the maximum mark, consult a Boat Dealer.\n6. Securely reinstall the oil tank filler cap until it stops, repeat the check for the other engine, and close the engine hood.\nCautions: engine oil is extremely hot immediately after the engines are turned off; avoid contact. Do not run the engine with too much or too little oil, and do not let debris or water enter the oil tank filler hole."",[""Manual09_196"", ""Manual09_197""]"
265,"""The machine automatically enters Power Off mode after 9 minutes; press either the Espresso or Lungo button to turn it on again.<PIC>\nTo turn it off before automatic Power Off, press the Espresso and Lungo buttons at the same time.<PIC>\nTo change the energy-saving setting, start with the machine off and hold the Espresso button for 3 seconds.<PIC>\nThe Espresso button blinks to show the current setting.<PIC>\nPress the Espresso button to cycle the setting: once for Power Off after 9 minutes, once more for Power Off after 30 minutes, and once more to deactivate Power Off.<PIC>\nHold the Lungo button for 3 seconds to exit energy saving mode.<PIC>"",[""Manual07_4"", ""Manual07_5"", ""Manual07_6"", ""Manual07_7"", ""Manual07_8"", ""Manual07_9""]"
266,"""1. Make sure the machine is turned off, then press and hold the Espresso button for 3 seconds.\n2. The Espresso button blinks to show the current energy-saving setting.\n3. Press the Espresso button to cycle the setting: once for Power Off after 9 minutes, once more for Power Off after 30 minutes, and once more to deactivate automatic Power Off.\n4. Press and hold the Lungo button for 3 seconds to exit energy-saving mode."",[]"
267,"""1. Turn the machine on and wait for ready mode, shown by steady Espresso and Lungo lights.<PIC>\n2. Fill the water tank with potable water and insert a capsule.<PIC>\n3. Place a cup under the coffee outlet.<PIC>\n4. Press and hold the Espresso or Lungo button for the drink size you want to program. When the desired volume has been served, release the button; that water volume is now stored for the selected button.<PIC>"",[""Manual07_24"", ""Manual07_25"", ""Manual07_26"", ""Manual07_27""]"
268,"""To empty the system for non-use, frost protection, or before repair or maintenance, remember that the machine will be blocked for 10 minutes after emptying mode.\n1. Press the Espresso and Lungo buttons together to turn the machine off.<PIC>\n2. Remove the water tank, then open the lever.<PIC>\n3. Press the Espresso and Lungo buttons together for 3 seconds.<PIC>\n4. Confirm both LEDs are blinking alternately.<PIC>\n5. Close the lever.<PIC>\n6. Let the machine switch off automatically, then empty and clean the used capsule container and drip tray."",[""Manual07_28"", ""Manual07_29"", ""Manual07_30"", ""Manual07_31"", ""Manual07_32""]"
269,"""1. Turn the machine off.\n2. Press and hold the Lungo button for 5 seconds.<PIC>\n3. Wait for the LEDs to blink fast 3 times; this confirms the reset to factory settings.<PIC>\n4. The LEDs then blink normally while the machine heats up; steady lights mean it is ready.<PIC>\nAfter reset, the factory settings are Espresso Cup 40 ml / 1.35 oz, Lungo Cup 110 ml / 3.7 oz, and Power Off mode after 9 minutes."",[""Manual07_33"", ""Manual07_34"", ""Manual07_35""]"
270,"""1. After brewing, remove the cup, then lift and close the lever to eject the used capsule into the used capsule container.\n2. Before cleaning, unplug the machine and let it cool. Wipe the appliance surface with a damp cloth and mild cleaning agent, and clean the coffee outlet regularly with a soft damp cloth.<PIC>\n3. Remove the maintenance unit in separate pieces so it can be cleaned easily.<PIC>\n4. Never immerse the appliance or any part in water, put it in a dishwasher, use strong cleaners or solvent cleaners, use sharp objects, brushes or sharp abrasives, or use a steam or pressure cleaner.\n5. For long service life, descale the machine with the recommended descaling kit, following the kit manual and the frequency required for your water hardness."",[""Manual07_47"", ""Manual07_48""]"
271,"""To access the wet storage compartment under the swim platform, open the rear platform hatch. Pull the lock handle up, turn the lock handle clockwise, and then open the rear platform hatch; the hatch and lock handle are shown here.<PIC>\nTo close it, close the hatch, turn the lock handle counterclockwise until the hatch is secure, and push the lock handle down. The engines will not start if the rear platform hatch is not securely closed."",[""Manual09_143""]"
272,"""Pull the latch to open the livewell lid; the livewell is on the starboard side at the stern.<PIC>\n1. Push the livewell switch to turn on the livewell pump and supply water.<PIC>\n2. When there is enough water in the livewell, push the livewell switch again to turn off the pump.\n3. If needed, push the aerator switch to aerate and circulate the water in the livewell."",[""Manual09_153"", ""Manual09_155""]"
273,"""The maintenance setting screen on the boat's multi-function display shows the time since the last maintenance for each engine. It displays separate running-hour totals for the port engine and the starboard engine.<PIC>\nAfter maintenance is performed, tap the Reset button to reset the number of hours of operation.<PIC>\nWhen the confirmation message appears, tap YES to reset the hours. Tap NO if you want to return to the maintenance setting screen without resetting.<PIC>"",[""Manual09_83"", ""Manual09_84"", ""Manual09_85""]"
274,"""On the helm multi-function display, the factory reset screen shows the \""Factory Reset\"" title and asks \""Reset all parameters to factory setting?\"" with \""Reset\"" and \""Back\"" buttons.<PIC>\nAfter \""Reset\"" is tapped, the confirmation asks \""Are you sure?\"" with \""YES\"" to reset the settings and \""NO\"" to return without resetting.<PIC>"",[""Manual09_87"", ""Manual09_89""]"
275,"""The trip screen is a multi-function display page for engine-operation hours, fuel-consumption, and trip data. The shown screen has a menu, scrollbar, and Reset button; its visible four menu entries are water temperature, average fuel economy, trip distance, and fuel used.<PIC> The menu shows four items at a time; scroll with the scrollbar. Touch and hold an item to reset it, or tap Reset to reset all resettable items; asterisked items cannot be reset."",[""Manual09_69""]"
